photons,blocks,threads,photones_per_thread,time,pus
524288, 128, 512, 8, 0.003179, 164.918572
1048576, 128, 512, 16, 0.005296, 197.980802
2097152, 128, 512, 32, 0.009695, 216.321831
4194304, 128, 512, 64, 0.019938, 210.363800
8388608, 128, 512, 128, 0.037482, 223.800870
16777216, 128, 512, 256, 0.071734, 233.880572
33554432, 128, 512, 512, 0.128418, 261.291221
67108864, 128, 512, 1024, 0.225836, 297.157635
134217728, 128, 512, 2048, 0.450141, 298.168521
268435456, 128, 512, 4096, 0.919301, 291.999673
536870912, 128, 512, 8192, 1.840034, 291.772250
1073741824, 128, 512, 16384, 3.558633, 301.728769
2147483648, 128, 512, 32768, 6.975470, 307.862228
4294967296, 128, 512, 65536, 13.662743, 314.356147
8589934592, 128, 512, 131072, 26.860758, 319.794946
17179869184, 128, 512, 262144, 52.776836, 325.519120
34359738368, 128, 512, 524288, 104.208453, 329.721221
68719476736, 128, 512, 1048576, 206.328000, 333.059385
137438953472, 128, 512, 2097152, 408.028719, 336.836470
274877906944, 128, 512, 4194304, 811.471625, 338.740011
