threads,photons,time,pus
1,8388608,3.682886,2.277727
1,8388608,3.808922,2.202358
1,8388608,3.79991,2.207581
1,8388608,3.671606,2.284724
1,8388608,3.67926,2.279971
1,8388608,3.680257,2.279354
1,8388608,3.667435,2.287323
1,8388608,3.674335,2.283027
1,8388608,3.846403,2.180897
1,8388608,3.666114,2.288147
1,8388608,3.860231,2.173084
1,8388608,3.667621,2.287207
1,8388608,3.702801,2.265476
1,8388608,3.666692,2.287786
1,8388608,3.784841,2.21637
1,8388608,3.666089,2.288163
1,8388608,3.664717,2.289019
1,8388608,3.700915,2.266631
1,8388608,3.666389,2.287976
1,8388608,3.716193,2.257312
2,8388608,1.882498,4.456104
2,8388608,1.896109,4.424118
2,8388608,1.881526,4.458407
2,8388608,1.901908,4.410628
2,8388608,1.971168,4.255653
2,8388608,1.880007,4.46201
2,8388608,1.8809,4.45989
2,8388608,1.894858,4.427037
2,8388608,1.880304,4.461304
2,8388608,1.880999,4.459656
2,8388608,1.880461,4.460931
2,8388608,1.931995,4.34194
2,8388608,1.882618,4.455821
2,8388608,1.928938,4.348823
2,8388608,1.883589,4.453522
2,8388608,1.881768,4.457834
2,8388608,1.895625,4.425247
2,8388608,1.894918,4.426897
2,8388608,1.920764,4.367329
2,8388608,1.897904,4.419933
3,8388608,1.690434,4.9624
3,8388608,1.68713,4.972118
3,8388608,1.6841,4.981061
3,8388608,1.681057,4.990081
3,8388608,1.656994,5.062547
3,8388608,1.689476,4.965212
3,8388608,1.684033,4.981262
3,8388608,1.684996,4.978414
3,8388608,1.681527,4.988684
3,8388608,1.68209,4.987015
3,8388608,1.681761,4.987991
3,8388608,1.681642,4.988344
3,8388608,1.683898,4.981661
3,8388608,1.688939,4.966792
3,8388608,1.778168,4.717557
3,8388608,1.685125,4.978034
3,8388608,1.686949,4.97265
3,8388608,1.681405,4.989046
3,8388608,1.682555,4.985636
3,8388608,1.68611,4.975125
4,8388608,1.497536,5.601607
4,8388608,1.500812,5.589381
4,8388608,1.493361,5.617269
4,8388608,1.496861,5.604132
4,8388608,1.51434,5.539447
4,8388608,1.506905,5.56678
4,8388608,1.50813,5.562259
4,8388608,1.564302,5.362526
4,8388608,1.495228,5.610255
4,8388608,1.514621,5.538421
4,8388608,1.497689,5.601035
4,8388608,1.50199,5.584995
4,8388608,1.492221,5.621559
4,8388608,1.515523,5.535123
4,8388608,1.498847,5.596708
4,8388608,1.49589,5.607769
4,8388608,1.491641,5.623745
4,8388608,1.494839,5.611713
4,8388608,1.494714,5.612181
4,8388608,1.5049,5.574196
1,16777216,7.714384,2.174797
1,16777216,7.902879,2.122924
1,16777216,7.717201,2.174003
1,16777216,7.42622,2.259186
1,16777216,7.711779,2.175531
1,16777216,7.331243,2.288454
1,16777216,7.335225,2.287212
1,16777216,7.335145,2.287237
1,16777216,7.330856,2.288575
1,16777216,7.628854,2.199179
1,16777216,7.365305,2.277871
1,16777216,7.446079,2.253161
1,16777216,7.443399,2.253972
1,16777216,8.037606,2.08734
1,16777216,7.333586,2.287723
1,16777216,7.328634,2.289269
1,16777216,7.61205,2.204034
1,16777216,7.363417,2.278455
1,16777216,7.640448,2.195842
1,16777216,7.712133,2.175431
2,16777216,3.759879,4.462169
2,16777216,3.757898,4.464522
2,16777216,3.759062,4.463139
2,16777216,3.840188,4.368853
2,16777216,3.94549,4.252251
2,16777216,3.760103,4.461903
2,16777216,3.782389,4.435614
2,16777216,3.849855,4.357882
2,16777216,4.281919,3.918153
2,16777216,3.760274,4.461701
2,16777216,3.776597,4.442417
2,16777216,3.762976,4.458497
2,16777216,3.798178,4.417175
2,16777216,3.763284,4.458131
2,16777216,3.758944,4.463279
2,16777216,3.766667,4.454128
2,16777216,3.760449,4.461493
2,16777216,3.759604,4.462496
2,16777216,3.768419,4.452057
2,16777216,3.761727,4.459977
3,16777216,3.362372,4.989696
3,16777216,3.379062,4.965052
3,16777216,3.362554,4.989427
3,16777216,3.363396,4.988177
3,16777216,3.382691,4.959725
3,16777216,3.368936,4.979975
3,16777216,3.378719,4.965555
3,16777216,3.365738,4.984707
3,16777216,3.366182,4.984049
3,16777216,3.361615,4.990821
3,16777216,3.380361,4.963143
3,16777216,3.363646,4.987807
3,16777216,3.366238,4.983966
3,16777216,3.361979,4.990279
3,16777216,3.383563,4.958446
3,16777216,3.366038,4.984262
3,16777216,3.374251,4.972131
3,16777216,3.395182,4.941478
3,16777216,3.370817,4.977196
3,16777216,3.364226,4.986947
4,16777216,2.98722,5.616331
4,16777216,2.985204,5.620124
4,16777216,2.989123,5.612756
4,16777216,2.989141,5.612722
4,16777216,3.003179,5.586485
4,16777216,2.994759,5.602193
4,16777216,3.036104,5.525902
4,16777216,2.995833,5.600183
4,16777216,2.984289,5.621846
4,16777216,2.984458,5.621529
4,16777216,2.98369,5.622976
4,16777216,2.987896,5.615061
4,16777216,2.995747,5.600345
4,16777216,2.988251,5.614394
4,16777216,2.989429,5.61218
4,16777216,2.988763,5.613431
4,16777216,3.01505,5.56449
4,16777216,2.985551,5.61947
4,16777216,2.990582,5.610017
4,16777216,3.003606,5.585692
1,33554432,14.679427,2.285813
1,33554432,14.713385,2.280538
1,33554432,14.806305,2.266226
1,33554432,14.663985,2.288221
1,33554432,15.465755,2.169596
1,33554432,14.663392,2.288313
1,33554432,15.36759,2.183454
1,33554432,15.260651,2.198755
1,33554432,14.709858,2.281085
1,33554432,15.437021,2.173634
1,33554432,14.668236,2.287557
1,33554432,15.144948,2.215553
1,33554432,14.672559,2.286883
1,33554432,14.656531,2.289384
1,33554432,14.660771,2.288722
1,33554432,14.747854,2.275208
1,33554432,14.659234,2.288962
1,33554432,14.660712,2.288731
1,33554432,14.660687,2.288735
1,33554432,14.735055,2.277184
2,33554432,7.518342,4.463009
2,33554432,7.876763,4.259926
2,33554432,7.697487,4.359141
2,33554432,7.880563,4.257873
2,33554432,7.743171,4.333423
2,33554432,7.724798,4.34373
2,33554432,7.573265,4.430643
2,33554432,7.55369,4.442124
2,33554432,7.522234,4.4607
2,33554432,7.515579,4.46465
2,33554432,7.877228,4.259675
2,33554432,7.687677,4.364704
2,33554432,7.541371,4.449381
2,33554432,7.519304,4.462439
2,33554432,7.577063,4.428422
2,33554432,7.720627,4.346076
2,33554432,7.519402,4.462381
2,33554432,7.657872,4.381691
2,33554432,7.51838,4.462987
2,33554432,7.888092,4.253808
3,33554432,6.724339,4.989997
3,33554432,6.722172,4.991606
3,33554432,6.72407,4.990196
3,33554432,6.729071,4.986488
3,33554432,6.722472,4.991383
3,33554432,6.65965,5.038468
3,33554432,6.725619,4.989047
3,33554432,6.765692,4.959498
3,33554432,6.7521,4.969481
3,33554432,6.729154,4.986427
3,33554432,6.721341,4.992223
3,33554432,6.725331,4.989261
3,33554432,6.725757,4.988945
3,33554432,6.738039,4.979851
3,33554432,6.724661,4.989758
3,33554432,6.730643,4.985323
3,33554432,6.739293,4.978925
3,33554432,6.722093,4.991664
3,33554432,6.740096,4.978332
3,33554432,6.830257,4.912617
4,33554432,5.978371,5.612638
4,33554432,5.967366,5.622989
4,33554432,5.965918,5.624353
4,33554432,5.965728,5.624532
4,33554432,5.969246,5.621218
4,33554432,5.985505,5.605948
4,33554432,5.973864,5.616872
4,33554432,5.971075,5.619496
4,33554432,6.07397,5.5243
4,33554432,6.040344,5.555053
4,33554432,6.055779,5.540894
4,33554432,6.131931,5.472082
4,33554432,6.071719,5.526348
4,33554432,6.03825,5.55698
4,33554432,5.978122,5.612872
4,33554432,6.091882,5.508057
4,33554432,6.100122,5.500616
4,33554432,6.085676,5.513674
4,33554432,6.079705,5.519089
4,33554432,6.016538,5.577034
